date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:47	91/91	---M-Z	404	error ('404')	text/html	date:Sun,%2020%20Mar%202022%2012:23:49%20GMT	https://qwc5ht.webwave.dev/GET	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/GET.10.delayed	(from https://qwc5ht.webwave.dev/)
14:23:48	91/91	---MCZ	404	error ('404')	text/html	date:Sun,%2020%20Mar%202022%2012:23:49%20GMT	https://qwc5ht.webwave.dev/v1	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/v1.11.delayed	(from https://qwc5ht.webwave.dev/)
14:23:48	8332/8332	---M--	200	added ('OK')	application/javascript	etag:%22208c-5c1140e7db574%22	https://qwc5ht.webwave.dev/files/assets/lib/ie11CustomProperties/ie11CustomProperties.js	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/files/assets/lib/ie11CustomProperties/ie11CustomProperties.js	(from https://qwc5ht.webwave.dev/)
14:23:49	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5daa4baf1e4b6%22	https://qwc5ht.webwave.dev/lib/qwc5ht/favicon.ico	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/lib/qwc5ht/favicon.ico	(from https://qwc5ht.webwave.dev/)
14:23:50	991/991	---M--	200	added ('200')	application/json	date:Sun,%2020%20Mar%202022%2012:23:51%20GMT	https://qwc5ht.webwave.dev/manifest.json	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/manifest.json	(from https://qwc5ht.webwave.dev/)
14:23:50	5776/5776	---M--	200	added ('OK')	image/svg+xml	etag:%221690-5da62ef00a3c0%22	https://qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/images/logo/brand-logo-dark-bc84fb252e6c48b0b3a0525056d7a421.svg	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/images/logo/brand-logo-dark-bc84fb252e6c48b0b3a0525056d7a421.svg	(from https://qwc5ht.webwave.dev/)
14:23:50	607/607	---M-Z	200	added ('200')	image/svg+xml	date:Wed,%2016%20Mar%202022%2015:04:04%20GMT	https://qwc5ht.webwave.dev/assets/websitesResources/images/closeIcon.svg	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/assets/websitesResources/images/closeIcon.svg	(from https://qwc5ht.webwave.dev/)
14:23:50	1048970/1048970	---M--	200	added ('OK')	application/javascript	etag:%2210018a-5da62f0abe2c0%22	https://qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/websiteModule-2095351215e48e2005da512188134d0e.js	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/websiteModule-2095351215e48e2005da512188134d0e.js	(from https://qwc5ht.webwave.dev/)
14:23:51	3196/3196	---M--	200	added ('OK')	image/png	etag:%22c7c-5daa1e1ed101f%22	https://qwc5ht.webwave.dev/files/dynamicContent/sites/qwc5ht/images/.CURRENT_LIB/540_qwc5ht_img_f4a9e2202db4d3e5c2acd235ce569770.png	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/files/dynamicContent/sites/qwc5ht/images/.CURRENT_LIB/540_qwc5ht_img_f4a9e2202db4d3e5c2acd235ce569770.png	(from https://qwc5ht.webwave.dev/)
14:23:51	353/353	---M--	200	added ('OK')	application/javascript	etag:%22161-5da62f0411300%22	https://qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/js/com/webwave/bottomBar/madeByBanner-58b187d65d0e2505a5be783c9b216267.js	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/files/staticContent/3.11/websitesResources/js/com/webwave/bottomBar/madeByBanner-58b187d65d0e2505a5be783c9b216267.js	(from https://qwc5ht.webwave.dev/)
14:23:54	377907/377907	---MCZ	200	added ('200')	text/html	date:Sun,%2020%20Mar%202022%2012:23:53%20GMT	https://qwc5ht.webwave.dev/?anchorElement=element_167&scrollMargin=100	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/index4c22.html	(from https://qwc5ht.webwave.dev/)
14:23:54	377907/377907	---MCZ	200	added ('200')	text/html	date:Sun,%2020%20Mar%202022%2012:23:53%20GMT	https://qwc5ht.webwave.dev/?anchorElement=element_172&scrollMargin=90	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/index0a86.html	(from https://qwc5ht.webwave.dev/)
14:23:54	377907/377907	---MCZ	200	added ('200')	text/html	date:Sun,%2020%20Mar%202022%2012:23:53%20GMT	https://qwc5ht.webwave.dev/?anchorElement=element_214&scrollMargin=90	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/indexdd47.html	(from https://qwc5ht.webwave.dev/)
14:23:55	377907/377907	---MCZ	200	added ('200')	text/html	date:Sun,%2020%20Mar%202022%2012:23:54%20GMT	https://qwc5ht.webwave.dev/?anchorElement=element_182&scrollMargin=90	C:/My%20Web%20Sites/Bears/qwc5ht.webwave.dev/index37f1.html	(from https://qwc5ht.webwave.dev/)
